y;matricula;genero;promedio;gms;Créditos por tomar; Avance %;2017-II_mat1;2017-II_notamat1;2017-II_mat2;2017-II_notamat2;2017-II_mat3;2017-II_notamat3;2017-II_mat4;2017-II_notamat4;2017-II_mat5;2017-II_notamat5;2017-II_mat6;2017-II_notamat6;2017-II_mat7;2017-II_notamat7;2018-I_cmat1;2018-I_notacmat1;2018-I_cmat2;2018-I_notacmat2;2018-I_cmat3;2018-I_notacmat3;2018-I_cmat4;2018-I_notacmat4;2018-I_cmat5;2018-I_notacmat5;2018-I_cmat6;2018-I_notacmat6;2018-I_cmat7;2018-I_notacmat7
344;201714227;M;7,55;0,179;129;20,86;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;7,8;CÁLCULO DE UNA VARIABLE;4,16;COMUNICACIÓN I;6,8;QUÍMICA GENERAL;6,62;;;;;;;BIOLOGÍA;8,15;CÁLCULO DE UNA VARIABLE;6,3;COMUNICACIÓN II;7,75;INGLÉS V;8,78;;;;;;
345;201503771;M;6,86;0,952;101;39,16;ECUACIONES DIFERENCIALES;6,08;ESTADÍSTICA;5,92;HISTORIA DE LAS CIENCIAS;7,45;INGLÉS IV;8,08;QUÍMICA ORGÁNICA;6,4;;GESTIÓN DE OBRAS CIVILES;;;FÍSICA II;6,56;INGLÉS V;6,62;QUÍMICA ALIMENTARIA;6,86;;;;;;;;
346;200900850;F;7,46;0,492;47;70,81;ANÁLISIS Y REDES ELÉCTRICAS II;6,14;EMPRENDIMIENTO E INNOVACIÓN;9,16;PROCESOS ESTOCÁSTICOS;4,42;;;;;;;;;FUNDAMENTOS DE PROGRAMACIÓN;6,44;;;;;;;;;;;;
347;201709060;M;7,16;0,297;135;18,18;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;7,15;BIOLOGÍA;7,91;CÁLCULO DE UNA VARIABLE;7,18;COMUNICACIÓN I;7,65;QUÍMICA GENERAL;6,93;;;;; ÁLGEBRA LINEAL;6,64;CÁLCULO DE VARIAS VARIABLES;6,8;COMUNICACIÓN II;7,4;FÍSICA I;6,54;INGLÉS I;7,93;;;;
348;201801479;M;6,82;0,834;144;9,43;;;;;;;;;;;;;;;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;7;CÁLCULO DE UNA VARIABLE;6,74;COMUNICACIÓN I;6,1;QUÍMICA GENERAL;6,95;;;;;;
349;201514435;M;7,27;0,285;91;36,81;ÁLGEBRA LINEAL;6,44;CÁLCULO DE VARIAS VARIABLES;6,46;FUNDAMENTOS DE ADMINISTRACIÓN;6,6;FUNDAMENTOS DE PROGRAMACIÓN;4,14;INTRODUCCIÓN A LA ECONOMÍA;6,9;;;;;ECONOMÍA MATEMÁTICA;6,68;ESTADISTICA DESCRIPTIVA;5,14;INGLÉS II;7,66;MACROECONOMÍA I;8,5;MICROECONOMÍA I;7,25;;;;
350;201607991;F;7,80;1,257;103;37,95;ÁLGEBRA LINEAL;6,68;CÁLCULO DE VARIAS VARIABLES;6,68;DANZA;9,5;FÍSICA I;6;INTRODUCCIÓN A LA INGENIERÍA EN ALIMENTOS;9,15;;;;;ECUACIONES DIFERENCIALES;5,3;ESTADÍSTICA;6;FÍSICA II;6,02;QUÍMICA ALIMENTARIA;7,3;;;;;;
351;201401950;M;7,23;0,827;71;56,97;DEPORTE: ENTRENAMIENTOS DE FUERZA;9,9;FUNDAMENTOS DE PROGRAMACIÓN;5,2;INGLÉS V;8,66;MECÁNICA DE ROCAS;6,35;MECÁNICA VECTORIAL;7;SISTEMAS DE INFORMACIÓN GEOGRÁFICA;6,34;TOPOGRAFÍA;7,77;DISEÑO DE VÍAS;7,93;GESTIÓN DE OBRAS CIVILES;7;RESISTENCIA DE MATERIALES;6,02;;;;;;;;
352;200622181;F;6,64;0,229;95;52,26;ADMINISTRACIÓN DE SISTEMAS OPERATIVOS;6,11;;;;;;;;;;;;;FUNDAMENTOS DE LINUX;3,5;INGLÉS II;4,98;PLAN.Y MANTEN.DE ESTR.REDES WINDOWS;7,2;;;;;;;;
353;201703162;M;6,94;0,372;130;18,24;ADMINISTRACIÓN DE SISTEMAS OPERATIVOS;2,96;CÁLCULO DE UNA VARIABLE;6,06;COMUNICACIÓN I;6,9;FUNDAMENTOS DE PROGRAMACIÓN;1,7;;;;;;;BIOLOGÍA;7,42;CÁLCULO DE VARIAS VARIABLES;6;COMUNICACIÓN II;0;FÍSICA I;4,38;;;;;;
354;201600772;M;7,35;0,387;125;21,38;ÁLGEBRA LINEAL;6;CÁLCULO DE UNA VARIABLE;6;COMUNICACIÓN II;5,8;DEPORTE: TENIS;9,65;FRANCÉS BÁSICO A;7,9;INGLÉS II;7,02;;;CÁLCULO DE VARIAS VARIABLES;5,14;FÍSICA I;4,28;INGLÉS III;5,36;;;;;;;;
355;201405808;M;7,03;0,616;117;29,09;ÁLGEBRA LINEAL;6,08;;;;;;;;;;;;;ECUACIONES DIFERENCIALES;3,4;INGLÉS II;7,9;LOGÍSTICA I;6,02;MATEMÁTICAS FINANCIERAS;7,8;;;;;;
356;201712387;M;7,07;0,515;146;11,52;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;7,1;CÁLCULO DE UNA VARIABLE;3,74;COMUNICACIÓN I;7,55;QUÍMICA GENERAL;6,08;;;;;;;ÁLGEBRA LINEAL;4,92;BIOLOGÍA;7,42;CÁLCULO DE UNA VARIABLE;7,32;COMUNICACIÓN II;7,4;;;;;;
357;201713591;M;8,19;0,742;119;17,36;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;8,05;CÁLCULO DE UNA VARIABLE;5,94;COMUNICACIÓN I;6,25;ESTUDIO DE CASOS DE CIENCIAS SOCIALES;8,82;;;;;;;CÁLCULO DE UNA VARIABLE;8,8;COMUNICACIÓN II;6,8;FUNDAMENTOS DE ADMINISTRACIÓN;8,05;INGLÉS I;9,1;INTRODUCCIÓN A LA ECONOMÍA;8,75;;;;
358;201714813;M;7,11;0,590;128;20,50;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;6,3;CÁLCULO DE UNA VARIABLE;5,88;COMUNICACIÓN I;8;QUÍMICA GENERAL;6,05;;;;;;;ÁLGEBRA LINEAL;6,4;BIOLOGÍA;7,16;CÁLCULO DE UNA VARIABLE;7,76;COMUNICACIÓN II;8,35;;;;;;
359;201710811;M;7,30;1,145;154;6,67;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;9,25;CÁLCULO DE UNA VARIABLE;4,26;COMUNICACIÓN I;6,75;QUÍMICA GENERAL;5,8;;;;;;;ÁLGEBRA LINEAL;4,84;CÁLCULO DE UNA VARIABLE;5,82;COMUNICACIÓN II;6,7;QUÍMICA GENERAL;6,51;;;;;;
360;201601705;M;7,47;0,737;128;21,47;FÍSICA I;6,02;;;;;;;;;;;;;ÁLGEBRA LINEAL;0;;;;;;;;;;;;
361;201710241;M;7,04;1,101;136;18,07;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;7,65;CÁLCULO DE UNA VARIABLE;7,32;COMUNICACIÓN I;6,75;QUÍMICA GENERAL;6,55;;;;;;;ÁLGEBRA LINEAL;6,96;BIOLOGÍA;7,52;CÁLCULO DE VARIAS VARIABLES;6,86;COMUNICACIÓN II;7,4;FÍSICA I;6,74;;;;
362;201409580;M;7,01;0,767;112;32,12;BIOLOGÍA;7,4;ESTADÍSTICA DESCRIPTIVA;6,18;FUNDAMENTOS DE PROGRAMACIÓN;3,96;INGLÉS III;7,02;QUÍMICA GENERAL;5,71;;;;;FUNDAMENTOS DE PROGRAMACIÓN;6,02;;;;;;;;;;;;
363;201707445;M;7,69;1,349;93;35,42;CÁLCULO DE UNA VARIABLE;6,14;COMUNICACIÓN II;8,2;CONTABILIDAD I;7,9;FUNDAMENTOS DE ADMINISTRACIÓN;7,6;FUNDAMENTOS DE PROGRAMACIÓN;3;INTRODUCCIÓN A LA ECONOMÍA;6,4;;;DERECHO SOCIETARIO Y LABORAL;7,75;FUNDAMENTOS DE MERCADEO;8,4;MACROECONOMÍA I;8,45;MATEMÁTICAS FINANCIERAS;6,25;MICROECONOMÍA I;7,55;;;;
364;201606134;M;7,36;1,475;106;34,97;ECUACIONES DIFERENCIALES;4,66;ESTADÍSTICA DESCRIPTIVA;6,58;FÍSICA I;5,76;FUNDAMENTOS DE PROGRAMACIÓN;1,14;INGLÉS II;8,32;;;;;ESTADÍSTICA INFERENCIAL;6,24;INGENIERÍA DE MÉTODOS;7,2;INGLÉS III;7,56;INVESTIGACIÓN DE OPERACIONES;6,35;;;;;;
365;201513769;F;6,99;0,698;73;49,31;FUNDAMENTOS DE PROGRAMACIÓN;0,8;INGLÉS IV;1,65;MACROECONOMÍA II;6,4;;;;;;;;;CHINO-MANDARÍN BÁSICO A;4,55;INGLÉS IV;7,01;MACROECONOMÍA III;6,7;;;;;;;;
366;201611597;F;7,16;0,501;112;32,53;ÁLGEBRA LINEAL;6,14;CÁLCULO DE VARIAS VARIABLES;7,24;DEPORTE: VOLEIBOL;9,4;INTRODUCCIÓN A LA INGENIERÍA EN ALIMENTOS;7,5;QUÍMICA ORGÁNICA;6,93;;;;;ECUACIONES DIFERENCIALES;5,42;ESTADÍSTICA;6;FÍSICA I;6,16;;;;;;;;
367;201703972;M;7,13;0,409;134;17,79;ÁLGEBRA LINEAL;6,48;BIOLOGÍA;7,22;CÁLCULO DE VARIAS VARIABLES;6,08;FÍSICA I;3,32;FUNDAMENTOS DE PROGRAMACIÓN;4,02;;;;;COMUNICACIÓN II;7,3;ECUACIONES DIFERENCIALES;1,5;FÍSICA I;5,68;INGLÉS I;8,28;MATEMÁTICAS DISCRETAS;6,96;;;;
368;201516473;M;7,26;0,529;102;36,25;CÁLCULO DE VARIAS VARIABLES;6,04;ECUACIONES DIFERENCIALES;6,92;FÍSICA I;6,4;INGLÉS II;9,36;;;;;;;ESTADÍSTICA;6,2;FÍSICA II;6,24;INGLÉS III;8,5;INTRODUCCIÓN A LA INDUSTRIA HIDROCARBURÍFERA;6,2;;;;;;
369;201513817;F;7,19;0,479;69;52,08;ÁLGEBRA LINEAL;6,14;ESTADÍSTICA DESCRIPTIVA;6,62;FINANZAS I;7,92;FUNDAMENTOS DE PROGRAMACIÓN;2,82;INGLÉS II;7,2;MACROECONOMÍA II;7,3;MICROECONOMÍA III;7,05;ECONOMÍA MATEMÁTICA;7,23;ESTADÍSTICA INFERENCIAL;6,24;FINANZAS II;7,35;INGLÉS III;7,1;;;;;;
370;201408278;M;7,47;0,681;67;53,47;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;7,45;COMUNICACIÓN II;7,5;FUNDAMENTOS DE MERCADEO;7,1;FUNDAMENTOS DE PROGRAMACIÓN;1,7;INGLÉS V;8,46;;;;;COMPORTAMIENTO DEL CONSUMIDOR;0;COMPORTAMIENTO ORGANIZACIONAL;0;EMPRENDIMIENTO E INNOVACIÓN;0;ESTADÍSTICA INFERENCIAL;0;FINANZAS II;0;INNOVACIÓN Y LA ECONOMÍA DEL CONOCIMIENTO;0;;
371;201807633;M;8,56;0,394;130;9,72; ;;;;;;;;;;;;;;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;9,55;CÁLCULO DE UNA VARIABLE;7,58;COMUNICACIÓN I;8,6;ESTUDIO DE CASOS DE CIENCIAS SOCIALES;8,85;;;;;;
372;201710837;M;7,78;0,585;139;13,66;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;8,75;CÁLCULO DE UNA VARIABLE;5,3;COMUNICACIÓN I;7,35;QUÍMICA GENERAL;7,11;;;;;;;ÁLGEBRA LINEAL;6,08;CÁLCULO DE UNA VARIABLE;8,48;COMUNICACIÓN I;8;INGLÉS I;8,26;;;;;;
373;201708286;F;7,77;0,267;106;26,39;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;7,65;CÁLCULO DE UNA VARIABLE;6,14;COMUNICACIÓN I;8,4;ESTUDIO DE CASOS DE CIENCIAS SOCIALES;8,55;INGLÉS II;9,21;;;;;CÁLCULO DE VARIAS VARIABLES;6,84;COMUNICACIÓN II;8,9;FUNDAMENTOS DE ADMINISTRACIÓN;8,2;INGLÉS V;6,92;INTRODUCCIÓN A LA ECONOMÍA;9,6;;;;
374;201704145;M;7,29;1,262;118;27,61;ÁLGEBRA LINEAL;7,04;BIOLOGÍA;8,21;CÁLCULO DE VARIAS VARIABLES;6,14;FÍSICA I;7,04;INGLÉS II;9,13;;;;;ECUACIONES DIFERENCIALES;6,4;ESTADÍSTICA DESCRIPTIVA;6,88;FÍSICA II;6,44;INTRODUCCIÓN A LA ECONOMÍA;6;INTRODUCCIÓN A LA INGENIERÍA INDUSTRIAL;8,35;;;;
375;201600111;M;7,87;0,227;112;30,00;ÁLGEBRA LINEAL;1,54;BÓTANICA GENERAL;8,66;CÁLCULO DE VARIAS VARIABLES;4,48;INGLÉS IV;7,58;QUÍMICA ORGÁNICA;6,13;;;;;HISTORIA DE LAS CIENCIAS;7,6;INGLÉS V;0,7;;;;;;;;;;
376;201700861;M;7,10;0,748;126;22,70;ÁLGEBRA LINEAL;4,84;BIOLOGÍA;6,53;CÁLCULO DE VARIAS VARIABLES;7,62;COMUNICACIÓN II;6,8;FÍSICA I;6;;;;;ÁLGEBRA LINEAL;0,24;DIBUJO PARA INGENIERÍA;0,1;FÍSICA II;0,42;INTRODUCCIÓN A LA ECONOMÍA;0,4;;;;;;
377;201703626;M;6,69;0,446;123;23,13;ÁLGEBRA LINEAL;6,06;BIOLOGÍA;6,46;CÁLCULO DE VARIAS VARIABLES;6,14;COMUNICACIÓN II;6,05;FÍSICA I;6,46;;;;;DEPORTE: ENTRENAMIENTOS DE FUERZA;9,95;ECUACIONES DIFERENCIALES;6,48;FÍSICA II;6,58;INTRODUCCIÓN A LA INDUSTRIA HIDROCARBURÍFERA;6;;;;;;
378;201613171;M;7,09;0,368;109;33,13;ÁLGEBRA LINEAL;6,66;CÁLCULO DE VARIAS VARIABLES;6,02;FÍSICA I;5,94;HISTORIA DE LAS CIENCIAS;9,4;INTRODUCCIÓN A LA ECONOMÍA;7,65;;;;;FÍSICA I;6,04;INGLÉS V;7,01;INVESTIGACIÓN DE OPERACIONES;7,15;;;;;;;;
379;201702776;M;7,60;0,359;131;19,63;ÁLGEBRA LINEAL;4,64;CÁLCULO DE VARIAS VARIABLES;6,3;COMUNICACIÓN II;7,7;FÍSICA I;6,12;INGLÉS I;8,98;;;;;ÁLGEBRA LINEAL;5,84;ESTADÍSTICA DESCRIPTIVA;7,56;FÍSICA II;6,26;INTRODUCCIÓN A LA INGENIERÍA INDUSTRIAL;8,05;;;;;;
380;201708377;F;8,03;0,220;123;14,58;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;9,1;CÁLCULO DE UNA VARIABLE;3,66;COMUNICACIÓN I;7,8;ESTUDIO DE CASOS DE CIENCIAS SOCIALES;8,47;;;;;;;CÁLCULO DE UNA VARIABLE;7,58;COMUNICACIÓN II;7,55;FUNDAMENTOS DE ADMINISTRACIÓN;6,95;INGLÉS I;9,13;;;;;;
381;201501450;F;6,99;0,689;64;55,56;ÁLGEBRA LINEAL;6,46;ESTADÍSTICA INFERENCIAL;6,04;FUNDAMENTOS DE PROGRAMACIÓN;2,84;INGLÉS IV;7,25;MACROECONOMÍA II;8,35;MICROECONOMÍA III;5,55;;;ECONOMÍA MATEMÁTICA;5,22;FINANZAS II;6,01;INGLÉS V;6,73;MICROECONOMÍA III;6,4;;;;;;
382;201513975;F;7,42;0,401;89;38,19;CÁLCULO DE VARIAS VARIABLES;5,48;DERECHO SOCIETARIO Y LABORAL;9,9;FUNDAMENTOS DE MERCADEO;8;FUNDAMENTOS DE PROGRAMACIÓN;3,66;INGLÉS II;8,92;INTRODUCCIÓN A LA ECONOMÍA;6,55;;;CÁLCULO DE VARIAS VARIABLES;6;INGLÉS III;8,76;MACROECONOMÍA I;8,15;MICROECONOMÍA I;6,15;;;;;;
383;201713005;M;7,03;1,330;137;15,95;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;7,65;CÁLCULO DE UNA VARIABLE;6,02;COMUNICACIÓN I;5,85;QUÍMICA GENERAL;6,78;;;;;;;ÁLGEBRA LINEAL;6,06;CÁLCULO DE VARIAS VARIABLES;6,6;COMUNICACIÓN I;7,2;FÍSICA I;6,04;INGLÉS I;9,2;;;;
384;201709862;M;7,91;0,564;137;13,84;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;7,5;BIOLOGÍA;7,66;CÁLCULO DE UNA VARIABLE;4,84;COMUNICACIÓN I;7,3;QUÍMICA GENERAL;7,03;;;;;CÁLCULO DE UNA VARIABLE;8,62;COMUNICACIÓN II;8,1;INGLÉS I;8,56;;;;;;;;
385;201704681;M;7,85;0,336;130;18,24;ÁLGEBRA LINEAL;5,5;BIOLOGÍA;8,8;CÁLCULO DE VARIAS VARIABLES;6,34;COMUNICACIÓN II;7,9;DEPORTE: PING PONG;9,55;;;;;ÁLGEBRA LINEAL;7,48;FÍSICA I;6,06;INGLÉS I;8,81;;;;;;;;
386;201613759;M;8,05;0,333;129;18,87;ÁLGEBRA LINEAL;5,22;BIOLOGÍA;8,75;CÁLCULO DE VARIAS VARIABLES;7,18;COMUNICACIÓN II;7,9;DEPORTE: FÚTBOL;10;;;;;ÁLGEBRA LINEAL;6,72;DEPORTE: PING PONG;9,95;FÍSICA I;4,18;INGLÉS I;8,03;MATEMÁTICAS DISCRETAS;6,86;;;;
387;201800786;M;7,59;0,698;135;15,09;;;;;;;;;;;;;;;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;9,65;CÁLCULO DE UNA VARIABLE;5,24;COMUNICACIÓN I;6,45;QUÍMICA GENERAL;6,01;;;;;;
388;201513739;F;7,59;0,134;65;54,86;ÁLGEBRA LINEAL;6,06;ESTADÍSTICA INFERENCIAL;8,32;FUNDAMENTOS DE ADMINISTRACIÓN;8,85;FUNDAMENTOS DE PROGRAMACIÓN;5,18;INGLÉS IV;8,65;INTRODUCCIÓN A LA GESTIÓN AMBIENTAL;7,75;MICROECONOMÍA III;5,75;ECONOMÍA MATEMÁTICA;7,53;FINANZAS II;7,73;INGLÉS V;8,91;MACROECONOMÍA II;7,6;MICROECONOMÍA III;8,5;;;;
389;201708989;M;6,89;0,439;143;12,27;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;7,9;CÁLCULO DE UNA VARIABLE;4,6;COMUNICACIÓN I;6,05;QUÍMICA GENERAL;6,08;;;;;;;CÁLCULO DE UNA VARIABLE;7,52;COMUNICACIÓN II;6,7;INGLÉS II;7,01;;;;;;;;
390;201714326;M;7,59;0,502;120;14,89;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;7;ARTE Y TECNOLOGÍA;9,2;COMUNICACIÓN I;6,2;MATEMÁTICAS;7,24;;;;;;;ARTE Y CIENCIA;8,32;DEPORTE: VOLEIBOL;9,55;ESTADÍSTICA;4,98;FÍSICA CONCEPTUAL;7,24;;;;;;
391;201707098;F;7,92;0,273;97;32,17;COMUNICACIÓN II;8,3;ESTADÍSTICA;7,76;FUNDAMENTOS DE ADMINISTRACIÓN;8,95;INTRODUCCIÓN A LA ECONOMÍA;8,75;TEORÍA DEL TURISMO;8,5;;;;;CULTURA DEL SERVICIO;10;GEOGRAFÍA FÍSICA;9,05;HISTORIA DEL ARTE;6,8;MATEMÁTICAS FINANCIERAS;6,2;METOLOGÍA DE LA INNOVACIÓN;9,33;;;;
392;201501557;M;7,01;1,170;59;59,03;ÁLGEBRA LINEAL;6,26;DEPORTE: TENIS;8,5;ESTADÍSTICA DESCRIPTIVA;6,74;FUNDAMENTOS DE PROGRAMACIÓN;2,80;INGLÉS IV;6,18;MACROECONOMÍA II;7,40;MICROECONOMÍA III;5,70;DESARROLLO SOCIAL Y VOLUNTARIADO;6,85;ECONOMÍA MATEMÁTICA;6,35;ESTADÍSTICA INFERENCIAL;6,16;FINANZAS II;6,37;MICROECONOMÍA III;6,6;;;;
393;201711561;F;7,56;1,238;117;17,02;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;6,05;ARTE Y TECNOLOGÍA;7,74;COMUNICACIÓN I;7,65;MATEMÁTICAS;4,14;;;;;;;BIOLOGÍA;7,33;COMUNICACIÓN II;7,65;INGLÉS IV;7,83;MATEMÁTICAS;4,86;;;;;;
394;201704244;M;7,56;0,566;108;33,74;ÁLGEBRA LINEAL;6,48;BIOLOGÍA;7,82;CÁLCULO DE VARIAS VARIABLES;7,44;COMUNICACIÓN II;7,15;DEPORTE: NATACIÓN;10;FÍSICA I;7,02;;;DEPORTE: BALONCESTO;10;ECUACIONES DIFERENCIALES;6,56;ESTADÍSTICA DESCRIPTIVA;6,48;FÍSICA II;6,54;;;;;;
395;201513789;F;7,40;0,480;63;56,25;ÁLGEBRA LINEAL;6,02;ESTADÍSTICA DESCRIPTIVA;6,94;FINANZAS II;5,68;FUNDAMENTOS DE PROGRAMACIÓN;4,64;INGLÉS IV;8,23;MICROECONOMÍA III;6,20;;;ECONOMÍA MATEMÁTICA;8,5;ESTADÍSTICA INFERENCIAL;8,52;FINANZAS II;7,17;INGLÉS V;7,3;MACROECONOMÍA II;7,5;;;;
396;201420545;M;7,18;0,864;138;13,46;;;;;;;;;;;;;;;ÁLGEBRA LINEAL;1,6;CÁLCULO DE UNA VARIABLE;3,74;QUÍMICA ANALÍTICA;2,92;;;;;;;;
397;201612827;F;7,68;0,474;121;25,31;COMUNICACIÓN II;7,4;ECUACIONES DIFERENCIALES;5,48;FUNDAMENTOS DE PROGRAMACIÓN;5,46;INGLÉS II;8,06;;;;;;;ECUACIONES DIFERENCIALES;6,78;INGLÉS III;7,88;MECÁNICA VECTORIAL;3,12;;;;;;;;
398;201407886;M;7,75;0,180;60;62,50;ÁLGEBRA LINEAL;5,06;ESTRATIGRAFÍA Y SEDIMENTACIÓN;8,52;FUNDAMENTOS DE PROGRAMACIÓN;2,46;GEOLOGÍA ESTRUCTURAL;5,65;PALEONTOLOGÍA Y GEOLOGÍA HISTÓRICA;7,67;RESISTENCIA DE MATERIALES;5,97;SISTEMAS DE INFORMACIÓN GEOGRÁFICA;8,26;ÁLGEBRA LINEAL;6,08;FÍSICA III;6,54;PERSPECTIVAS SOBRE EL BUEN VIVIR;7;;;;;;;;
399;201610896;M;7,93;1,111;77;46,53;ÁLGEBRA LINEAL;6,48;CÁLCULO DE VARIAS VARIABLES;6;CHINO-MANDARÍN BÁSICO A;8,3;COMUNICACIÓN II;8,95;MACROECONOMÍA I;6,85;MICROECONOMÍA I;6,6;;;ECONOMÍA MATEMÁTICA;7,13;ESTADÍSTICA DESCRIPTIVA;7,12;MATEMÁTICAS FINANCIERAS;6,72;MICROECONOMÍA II;6,7;;;;;;
400;201710332;M;6,47;0,636;143;11,18;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;7,6;CÁLCULO DE UNA VARIABLE;6,04;COMUNICACIÓN I;5,95;QUÍMICA GENERAL;5,6;;;;;;;CÁLCULO DE VARIAS VARIABLES;6,3;COMUNICACIÓN I;6;FÍSICA I;5,78;QUÍMICA GENERAL;6,86;;;;;;
401;201708039;M;7,34;0,752;144;10,56;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;8,65;CÁLCULO DE UNA VARIABLE;6,04;COMUNICACIÓN I;7,05;QUÍMICA GENERAL;5,42;;;;;;;ÁLGEBRA LINEAL;4,14;CÁLCULO DE VARIAS VARIABLES;6,12;FÍSICA I;5,58;FRANCÉS BÁSICO A;7,85;INGLÉS I;8,32;;;;
402;201304409;F;8,27;0,469;135;17,18;;;;;;;;;;;;;;;HISTORIA Y FILOSOFÍA DE LAS CIENCIAS;0;INGLÉS I;8,55;INTRODUCCIÓN A LA INGENIERÍA INDUSTRIAL;8,05;;;;;;;;
403;201702560;F;7,42;0,479;109;31,45;ÁLGEBRA LINEAL;6,52;BIOLOGÍA;8,18;CÁLCULO DE VARIAS VARIABLES;6,96;COMUNICACIÓN II;8,85;FUNDAMENTOS DE PROGRAMACIÓN;5,78;;;;;ECUACIONES DIFERENCIALES;6,56;ESTADÍSTICA;7,02;FÍSICA I;5,56;INTRODUCCIÓN A LA GESTIÓN AMBIENTAL;8,15;MATEMÁTICAS DISCRETAS;6,9;;;;
404;201714508;M;7,76;0,676;135;15,38;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;8,15;CÁLCULO DE UNA VARIABLE;5,66;COMUNICACIÓN I;6,1;INGLÉS I;8,51;QUÍMICA GENERAL;7,17;;;;;ÁLGEBRA LINEAL;7,06;BIOLOGÍA;8,15;CÁLCULO DE UNA VARIABLE;9,1;COMUNICACIÓN II;9,25;;;;;;
405;201714615;M;7,46;0,839;126;20,75;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;7,3;CÁLCULO DE UNA VARIABLE;5,76;COMUNICACIÓN I;6,45;QUÍMICA GENERAL;6,66;;;;;;;ÁLGEBRA LINEAL;7,96;BIOLOGÍA;7,77;CÁLCULO DE UNA VARIABLE;7,62;COMUNICACIÓN II;7,15;;;;;;
406;201710910;M;7,87;2,103;130;21,69;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;6,4;CÁLCULO DE UNA VARIABLE;6,52;COMUNICACIÓN I;8,05;FUNDAMENTOS DE PROGRAMACIÓN;5,58;QUÍMICA GENERAL;7,2;;;;;ÁLGEBRA LINEAL;6,24;BIOLOGÍA;8,37;CÁLCULO DE VARIAS VARIABLES;6,98;COMUNICACIÓN II;8,25;;;;;;
407;201311490;M;6,68;0,471;123;25,45;;;;;;;;;;;;;;;ÁLGEBRA LINEAL;2,14;CÁLCULO DE VARIAS VARIABLES;3,08;INGLÉS II;6,65;;;;;;;;
408;201714888;M;6,85;0,965;109;24,31;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;6,35;CÁLCULO DE UNA VARIABLE;4,74;COMUNICACIÓN I;7,2;ESTUDIO DE CASOS DE CIENCIAS SOCIALES;7,52;;;;;;;CÁLCULO DE UNA VARIABLE;6,02;COMUNICACIÓN II;6,75;FUNDAMENTOS DE ADMINISTRACIÓN;6,8;INTRODUCCIÓN A LA ECONOMÍA;6,55;;;;;;
409;201713229;M;7,31;0,337;131;20,61;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;7,15;CÁLCULO DE UNA VARIABLE;7,18;COMUNICACIÓN I;7,75;QUÍMICA GENERAL;7,07;;;;;;;ÁLGEBRA LINEAL;6,54;CÁLCULO DE VARIAS VARIABLES;6,98;COMUNICACIÓN II;8,5;FÍSICA I;7,56;;;;;;
410;201702750;M;7,88;1,066;130;21,21;ÁLGEBRA LINEAL;7,52;BIOLOGÍA;8,17;CÁLCULO DE VARIAS VARIABLES;7,02;COMUNICACIÓN II;7,25;DEPORTE: VOLEIBOL;9,15;FÍSICA I;5,8;;;DIBUJO TÉCNICO Y PLANOS;7,93;ECUACIONES DIFERENCIALES;5,66;FÍSICA I;7,22;INGLÉS I;6,91;INTRODUCCIÓN A LA INGENIERÍA CIVIL;7,15;;;;
411;201714839;M;7,40;0,527;134;17,28;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;7,3;CÁLCULO DE UNA VARIABLE;7,02;COMUNICACIÓN I;7,6;INGLÉS I;9,26;QUÍMICA GENERAL;7,43;;;;;ÁLGEBRA LINEAL;6,24;CÁLCULO DE VARIAS VARIABLES;7,46;COMUNICACIÓN II;8,05;FÍSICA I;7,08;;;;;;
