y;matricula;genero;promedio;gms;Créditos por tomar; Avance %;2017-II_mat1;2017-II_notamat1;2017-II_mat2;2017-II_notamat2;2017-II_mat3;2017-II_notamat3;2017-II_mat4;2017-II_notamat4;2017-II_mat5;2017-II_notamat5;2017-II_mat6;2017-II_notamat6;2017-II_mat7;2017-II_notamat7;2018-I_cmat1;2018-I_notacmat1;2018-I_cmat2;2018-I_notacmat2;2018-I_cmat3;2018-I_notacmat3;2018-I_cmat4;2018-I_notacmat4;2018-I_cmat5;2018-I_notacmat5;2018-I_cmat6;2018-I_notacmat6;2018-I_cmat7;2018-I_notacmat7
1087;201224004;M;7,09;1,299;94;42,33;ESTADÍSTICA INFERENCIAL;6,80;FUNDAMENTOS DE PROGRAMACIÓN;2,08;INGLÉS V;6,50;INVESTIGACIÓN DE OPERACIONES;6,05;PROCESOS INDUSTRIALES;6,10;;;;;ECUACIONES DIFERENCIALES;0,44;FUNDAMENTOS DE PROGRAMACIÓN;3,72;HERRAMIENTAS ESTADÍSTICAS PARA LA CALIDAD;2,5;PRONÓSTICOS Y CONTROL DE INVENTARIOS;3,8;;;;;;
1088;201803269;F;7,13;0,769;138;16,36; ;;;;;;;;;;;;;;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;7,55;CÁLCULO DE UNA VARIABLE;6,42;COMUNICACIÓN I;6,45;FUNDAMENTOS DE PROGRAMACIÓN;5,24;QUÍMICA GENERAL;7,53;;;;
1089;201708690;F;7,2;0,657;137;17,47;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;7,70;CÁLCULO DE UNA VARIABLE;4,24;COMUNICACIÓN I;6,25;QUÍMICA GENERAL;5,42;;;;;;;BIOLOGÍA;7,71;CÁLCULO DE UNA VARIABLE;7,52;FUNDAMENTOS DE PROGRAMACIÓN;7,2;QUÍMICA GENERAL;7,93;;;;;;
1090;201807930;M;8,33;4,880;136;16,56; ;;;;;;;;;;;;;;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;8,2;CÁLCULO DE UNA VARIABLE;7,96;COMUNICACIÓN I;8;FUNDAMENTOS DE PROGRAMACIÓN;8,46;QUÍMICA GENERAL;7,56;;;;
1091;201713799;M;7,86;1,695;137;13,84;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;9,00;CÁLCULO DE UNA VARIABLE;4,98;COMUNICACIÓN I;6,65;QUÍMICA GENERAL;6,90;;;;;;;ÁLGEBRA LINEAL;6,44;CÁLCULO DE UNA VARIABLE;8,14;DEPORTE: FÚTBOL;10;FUNDAMENTOS DE PROGRAMACIÓN;6,4;INGLÉS I;9,33;;;;
1092;201710795;M;7,44;0,638;128;21,47;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;8,85;CÁLCULO DE UNA VARIABLE;6,04;COMUNICACIÓN I;7,00;FUNDAMENTOS DE PROGRAMACIÓN;5,38;QUÍMICA GENERAL;6,21;;;;;ÁLGEBRA LINEAL;5,48;CÁLCULO DE VARIAS VARIABLES;6,12;COMUNICACIÓN II;7,25;FÍSICA I;6,3;FUNDAMENTOS DE PROGRAMACIÓN;9,54;;;;
1093;201409227;F;6,88;;118;26,25; ;;;;;;;;;;;;;;CÁLCULO DE UNA VARIABLE;0,16;FISIOLOGÍA ANIMAL;6,36;FUNDAMENTOS DE PROGRAMACIÓN;0,08;ZOOLOGÍA DE VERTEBRADOS;6,56;;;;;;
1094;201306828;F;7,16;0,223;112;20,57;ARTE Y TECNOLOGÍA;8,88;FUNDAMENTOS DE PROGRAMACIÓN;0,66;MATEMÁTICAS FINANCIERAS;7,42;;;;;;;;;ARTE Y CIENCIA;3,88;FUNDAMENTOS DE PROGRAMACIÓN;1,78;INGLÉS I;4,98;;;;;;;;
1095;201801206;M;7,4;1,763;134;16,77; ;;;;;;;;;;;;;;ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS I;8,15;CÁLCULO DE UNA VARIABLE;6,22;COMUNICACIÓN I;6,45;FUNDAMENTOS DE PROGRAMACIÓN;7,66;QUÍMICA GENERAL;7,15;;;;
1096;201516992;M;7,25;0,499;141;14,55;ÁLGEBRA LINEAL;6,92;;;;;;;;;;;;;CÁLCULO DE VARIAS VARIABLES;4,64;FÍSICA I;6,92;FUNDAMENTOS DE PROGRAMACIÓN;0,42;;;;;;;;
